uid,chroma_stft,rms,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0,0.417576998,0.021821,1209.121396,863.792101,2143.338322,0.118059,-493.5211792,91.78341675,-26.32783318,-5.417679787,4.327825069,-19.87921524,-13.40111637,-15.22643948,-9.787595749,12.81244087,-1.383754969,-15.17613411,1.477238059,-0.881711006,-9.279362679,-2.052331924,-4.782094002,-5.94345808,-1.52125001,-7.698833942,0
1,0.580685973,9.60E-05,1407.625222,1023.537231,2675.883187,0.156486,-895.4854736,126.4717484,-37.97415161,3.942806959,13.23427773,-26.68184471,1.184985995,5.780044079,-13.54902935,3.638083935,0.633548021,-9.198078156,4.64477396,-3.317562103,-9.91347599,2.815941095,-4.005496979,-6.413677216,4.62127018,-2.004076004,0
2,0.241353005,0.010425,341.257453,350.496411,646.431108,0.012113,-567.7591553,35.22519302,9.161156654,9.618160248,7.226665974,-2.627383947,-1.753661036,0.428133994,-1.329293966,-0.977926016,-4.12878418,-6.877041817,-1.89151299,-0.569561005,-4.98985815,-3.708358049,-0.921787024,-2.729161978,-2.322299957,0.351597995,0
3,0.572251022,0.053805001,1363.687701,976.481397,2581.714659,0.1054,-430.6275635,97.07850647,-25.7498436,-3.679585934,2.89823103,-18.91682625,-1.666345,-7.361957073,-17.20752907,4.508110046,-2.235565901,-17.9631443,-4.982684135,-4.916934013,-10.52244282,-2.129544973,-5.843552113,-9.296723366,-1.722731948,-3.721489906,0
4,0.32705,0.003313,1146.571643,948.233472,2090.746103,0.097369,-618.0006104,159.0715179,-8.126961708,24.29060936,18.58354568,-21.82527733,3.622953892,-5.080028057,-20.89065933,3.919169903,-5.200941086,-13.88247299,3.011117935,-8.358169556,-9.683431625,4.276494026,-9.067811012,-8.047315598,1.852805018,-12.53415394,0
5,0.331882,0.040173002,1130.522561,710.650517,1852.914479,0.09007,-426.5444946,100.0319672,-27.9667511,-13.4124651,7.894638062,-16.60523224,-19.88724518,-17.15831566,-15.47374153,-2.930664063,-5.357359886,-9.328701973,0.221345007,-2.062916994,-6.553572178,-1.342460036,-4.363366127,-6.980028152,-2.453486919,-3.896889925,0
6,0.496472001,0.018385001,1158.673342,872.881197,2143.30579,0.085607,-419.477478,92.63159943,-14.8569994,-11.94269562,9.148443222,-6.829668045,-11.88310909,-6.611565113,-7.452782154,-6.790923119,-8.166809082,-9.784480095,-10.52004433,-15.54533482,-13.12518883,-5.873898029,-10.56443882,-14.52382088,-7.426305771,-2.873545885,0
7,0.428797007,0.090502001,1256.653741,934.528424,2340.367204,0.096136,-317.4189758,125.1264267,-44.22142029,21.12973785,25.37287712,-26.18906403,-2.794711113,-14.13360691,-27.42451859,12.03480053,5.640937805,-11.32304764,6.711016178,0.646706998,0.212669,13.28755856,-3.244168997,-5.923996925,4.674476147,-7.05518198,0
8,0.398319006,0.088041998,1050.520139,910.350213,2093.238569,0.075765,-319.1763916,158.397934,-17.66435623,12.51687527,15.45553303,-26.77938271,-5.034706116,-3.854255915,-16.17864418,3.868264914,-4.990372181,-13.20477772,6.815063,-2.240369081,-10.35242844,3.485441923,-5.717130184,-10.78973675,0.186664999,-7.095238209,0
9,0.422017992,0.056122001,1065.708547,932.429109,2120.267599,0.06473,-352.697998,92.91353607,-7.184941769,4.706533909,13.98466301,-5.83054018,2.662292957,3.356241941,-7.752124786,3.195044041,7.234457016,-1.421646953,2.10633111,3.520838022,-1.208389997,-0.614866018,-2.10008502,-2.572815895,0.640823007,-1.78896296,1
10,0.258951992,0.097392,1378.436935,860.942637,2239.687182,0.112337,-344.1079407,104.45401,-61.35389709,-6.784132957,7.224311829,-29.88072968,-5.30291605,-9.570752144,-20.4571991,1.948374987,-12.25959492,-17.50099564,6.63868618,-4.315422058,-6.001054764,12.05952358,-2.247652054,-6.639939785,5.44474411,-3.712877035,0
11,0.484535009,0.019845,1322.771962,821.087573,2262.361624,0.120258,-498.0675049,73.73005676,-33.41873169,-2.017158031,10.7134552,-14.25510693,-3.816714048,-4.605925083,-10.86233997,3.554085016,-2.607289076,-11.46155453,-1.780444026,-5.353335857,-7.787453175,0.58197099,-4.048771858,-6.646300793,-2.019774914,-4.231795788,0
12,0.348614991,0.038268998,1666.407189,804.470969,2595.938469,0.146992,-459.8582153,74.19132233,-66.65556335,-4.225979805,12.65411568,-32.07559204,-15.77594376,-9.700813293,-13.37496185,3.719434977,-8.546315193,-9.145394325,13.50356388,-0.838239014,-9.006912231,5.838576794,-5.360033989,-9.848894119,2.711518049,-4.517743111,0
13,0.51167798,0.00301,1106.367622,983.849036,2316.927482,0.082765,-707.2835083,29.94605255,-5.24509716,-0.364762992,2.373565912,-3.732492924,-0.192976996,0.230624005,-1.527484059,0.895033002,-0.673739016,-1.179787993,0.635857999,-1.666141987,-1.147289991,0.218617007,-3.115138054,-2.191253901,0.136271998,-2.695580959,1
14,0.377112001,0.015583,1366.274758,725.823794,2092.986066,0.129374,-553.7150879,84.45694733,-29.50976563,-27.22129059,-5.005970955,-8.135771751,-5.161664009,-11.87435055,-12.93020344,2.753046036,-0.813497007,-9.151007652,-1.205695033,-1.871703982,-4.772644043,2.465293884,0.292466015,-6.333910942,-4.062151909,-1.859158039,0
15,0.365433007,0.06075,1423.721707,880.354385,2430.776872,0.114252,-384.0058594,98.39141083,-39.96746445,-5.713013172,9.181810379,-21.43791962,-4.528473854,-4.621819019,-21.37573242,-4.708040237,-2.857048988,-11.26981354,1.390867949,-0.303959012,-7.863766193,-0.910311997,-4.053070068,-6.383629799,0.034090001,-4.783426762,0
16,0.615685999,0.017155999,1752.448013,1032.395193,3008.370021,0.20906,-542.4136963,41.28085327,-27.31490326,-3.700690985,2.08496809,-10.75200462,-0.539919019,-7.836954117,-11.39265823,5.47053194,0.726646006,-5.578378201,2.45656395,-2.672899008,-4.483065128,1.854632974,-3.386110067,-2.754518986,2.947120905,-1.692595005,1
17,0.562811971,0.000169,1600.331269,1046.14441,2879.456488,0.163249,-816.4266357,79.08192444,-29.31199265,5.86047411,18.57666397,-10.00902176,3.949559927,6.272240162,-5.975303173,5.116593838,0.383363992,-8.34543705,4.704798222,2.03788805,-6.667097092,0.002884,-3.338298082,-7.020698071,0.571251988,-1.498890042,0
18,0.452576995,0.013781,1568.432577,921.868686,2626.86515,0.140882,-504.6980286,128.4226532,-72.48324585,-8.005540848,16.06753159,-28.49917984,-7.282317162,-12.87820435,-19.53013229,16.0182476,1.032423019,-19.47387314,-0.51739198,-7.971784115,-11.94515419,2.435606003,-9.580983162,-11.94511223,-2.204027891,-10.49925709,0
19,0.465346009,0.032933,1130.598944,960.61266,2203.47692,0.068895,-350.8948669,183.0857239,-58.36436844,5.294534206,42.03475571,-13.53730583,1.96440804,4.058657169,-10.63065815,18.41077232,8.720083237,-12.12458134,14.47346497,10.98590469,-9.98056221,6.986604214,9.884723663,-4.263525963,2.181708097,5.106711864,1
20,0.455139011,0.000324,1075.086151,920.413785,2123.539011,0.080604,-814.1255493,157.9386597,-22.64387512,8.972973824,7.471889973,-31.1882019,0.881757021,-4.516478062,-26.3742981,0.017058,-3.808908939,-16.25765228,0.997263014,-8.172682762,-15.76467419,-1.117562056,-9.568471909,-11.87456608,1.092717052,-6.958662987,0
21,0.421312004,0.046948001,1268.202886,811.407151,2123.339468,0.101266,-424.7156372,73.67097473,-34.45395279,-5.941450119,7.207071781,-10.24035454,3.955280066,-5.433293819,-18.59936142,3.163894892,5.804334164,-5.455728054,0.526199996,0.197919995,-1.697293997,0.864467025,-6.028717995,-6.088524818,-1.436074972,-5.784274101,0
22,0.551473022,0.001708,1291.577468,1003.526721,2500.416248,0.175782,-666.0841064,33.44096756,-3.264703035,7.224380016,7.297378063,-4.4034338,-1.648774981,-5.394880772,-10.32783699,-3.955391884,-4.116210938,-6.098883152,-2.057904959,-3.244271994,-3.719814062,-0.341877013,-1.706020951,-1.930029988,-0.556409001,-2.584189892,0
23,0.376376003,0.055658001,1090.490809,698.251562,1843.928978,0.08353,-454.0248108,75.68260956,-19.90294647,-5.319501877,-3.140945911,-16.94589043,1.09702003,-4.243711948,-15.46953964,0.089350998,-0.02885,-5.281160831,2.027512074,-3.704195976,-5.636003971,2.802812099,-1.888455987,-4.138661861,-0.279444009,-4.722953796,0
24,0.492413014,0.034931,987.552561,902.926079,2015.763802,0.060662,-463.7458191,80.28206635,-8.519756317,6.126276016,14.98769283,-3.866404057,1.225878954,-1.012742996,-9.940095901,-1.674710989,-2.213973045,-7.206002235,-1.448501945,-3.145811081,-5.91210413,-1.563328028,-4.202524185,-7.060857773,-4.723529816,-5.245285988,1
25,0.39795199,0.107235998,1015.231123,660.000393,1659.377073,0.083984,-330.5544739,147.0623474,-7.473202229,-18.92519188,-1.876327038,-6.783195972,3.542186975,-7.61729002,-22.27931595,-4.808263779,-2.59898591,-14.55956078,-4.40054512,0.699091017,-7.187094212,-5.193999767,-2.738473892,-4.293801785,-3.644131899,-5.228476048,1
26,0.55825901,0.019416999,1258.940774,983.49935,2469.416692,0.099006,-513.097168,49.77838516,-7.584897995,-4.123772144,-0.093059003,-5.04343605,1.236888051,-3.826711893,-6.414619923,5.038318157,2.299483061,-2.915317059,4.672400951,2.697773933,-3.34896493,0.016398,-0.628907979,-3.343615055,-1.574424028,-2.414937973,1
27,0.353439987,0.061790001,1164.742821,840.219819,2038.061811,0.088187,-381.9725952,86.84863281,-22.58055305,-5.609998226,-0.472986013,-20.55122375,-3.460469007,-4.462750912,-16.74064445,-2.570705891,-2.573378086,-9.713978767,-0.325848013,-2.5346241,-6.764801979,-0.418532014,-4.394941807,-5.44856596,2.018601894,-1.215461969,1
28,0.344415992,0.002147,1822.857546,1247.466007,3277.705501,0.185861,-607.3130493,123.7452774,-32.05784607,31.26518631,5.772716045,-42.306633,11.65577316,-2.665380955,-25.34939194,15.44048882,-5.29722023,-19.75580215,17.01198959,-3.974133968,-20.0366497,4.951955795,-13.35248947,-21.90393448,1.299193978,-7.613808155,0
29,0.547316015,0.037503,1358.40606,1022.976227,2600.61903,0.165523,-471.3367004,42.91770935,-14.07435608,0.097197004,4.367897987,-7.320858002,0.679535985,-0.956481993,-6.130805969,2.128652096,0.296472996,-3.300096035,1.790433049,-1.369297981,-2.97142911,1.50138104,-2.16040802,-3.378551006,0.498944998,-1.624726057,1
30,0.062431999,8.00E-06,182.307828,109.852678,305.653283,0.011839,-1108.51123,11.83357525,-6.847578049,2.753511906,4.103013992,-1.906818032,1.966815948,1.412309051,-1.445171952,1.718217015,0.764696002,-0.997970998,1.253759027,0.128436998,-0.666006982,1.170479059,0.076860003,-0.210066006,0.969640017,-0.141635999,0
31,0.369908005,0.041113999,1535.302081,879.380307,2501.734599,0.13661,-421.0852661,68.75130463,-39.86988449,1.764603972,14.34623718,-18.65355492,-9.772313118,-10.74094105,-16.24524498,1.497619987,-6.157028198,-14.84083557,2.056732893,-1.051964045,-8.948264122,0.97241199,-0.574157,-3.134187937,2.997384071,-1.236721039,1
32,0.398512989,0.115119003,1066.561731,775.388789,1827.498239,0.079742,-271.3049316,210.8072662,-63.43790817,-10.48881912,27.24832535,-17.70083237,3.38836503,-4.192453861,-28.8340435,-5.565957069,-9.532208443,-14.08489704,7.610748768,-6.1276021,-11.61191654,7.447073936,-4.22154808,-5.890688896,10.31488228,-0.250853002,0
33,0.419901013,0.00049,1231.755009,925.118749,2352.982141,0.091251,-704.8986816,220.6140594,-82.81876373,3.585632086,26.33168411,-44.51796341,7.19926405,11.70794582,-25.28193092,7.304479122,-0.033392001,-20.28012085,5.19597578,-5.616930008,-13.53057098,8.874689102,-4.466887951,-8.812244415,7.498157024,-5.361115932,0
34,0.39478299,0.040277001,1075.233996,825.114745,1880.081424,0.075611,-367.553009,170.3133392,-44.78062057,-15.48170471,27.05408287,-9.262893677,-11.33198547,-8.512410164,-10.90917397,9.001047134,2.017216921,-9.746921539,8.32024765,5.131947994,-6.293416023,4.281479836,-0.083383001,-4.863001823,8.345964432,2.297533035,1
35,0.409924001,0.034127001,1159.025399,937.711072,2253.315822,0.07952,-451.632782,40.51111221,-13.21571064,1.976277947,8.804585457,-6.139287949,-2.392023087,-1.439357996,-6.945466995,-1.24644196,-1.424765944,-6.40000391,-2.854314089,-2.589180946,-4.454026222,-1.154685974,-1.78055799,-4.13813591,-2.515151978,-1.691696048,0
36,0.434433997,0.058012001,1454.2847,927.46768,2527.695236,0.143065,-393.491394,109.4231644,-51.92323685,-3.017544985,20.32894516,-14.85590172,-0.931052029,-8.505584717,-24.26751328,-0.493236005,-5.009131908,-18.49037743,-0.264396995,0.943334997,-5.333974838,0.74604398,-6.880777836,-7.480557919,1.893319011,-5.759471893,0
37,0.267315,0.033783,935.526612,648.953903,1523.024442,0.072815,-464.2737427,64.61599731,-3.706144094,-8.879878998,-3.424267054,-5.995264053,-2.156263113,-7.595933914,-10.0655756,-1.072126985,-1.833958983,-3.728451014,1.097645044,-1.011757016,-2.029611111,0.731458008,-2.640501976,-3.068569899,-0.73487097,-3.013597965,0
38,0.268052995,0.035987001,968.913702,506.728942,1482.36297,0.068238,-443.1669006,62.07471466,-36.71963501,-28.38874054,-5.863481998,-7.26704216,0.967508018,-1.833323002,-9.299209595,-3.577588081,-5.199411869,-6.433547974,0.418545008,-2.435219049,-4.091199875,0.273063987,-3.318041086,-3.650022984,0.288273007,-3.074598074,1
39,0.363555014,0.037062,1338.775596,1019.825223,2657.014974,0.09266,-461.3726807,57.36286163,-29.4693985,-4.213044167,1.901041985,-14.9664278,0.790647984,-2.588857889,-11.05343246,2.837584019,-3.190251112,-10.24791527,1.987887979,-1.889860988,-7.771736145,-0.455864012,-2.566508055,-2.778660059,3.614396095,0.524435997,0
40,0.485725999,0.021776,1145.977101,882.265935,2163.027209,0.086216,-515.4633179,47.97259521,-12.09780121,-5.147418022,-0.158908993,-8.705041885,-0.971288979,-0.939087987,-5.155045986,1.530426979,-0.430781007,-5.006035805,-0.634365022,-1.099217057,-2.400980949,0.191052005,-1.482278943,-1.173818946,0.232366994,-3.395724058,0
41,0.537473977,0.00029,1333.603104,1006.992094,2534.369515,0.173383,-831.602417,73.81824493,0.233265996,6.148714066,8.49769783,-7.239857197,-0.169400007,0.25207299,-6.533502102,2.378534079,3.150518894,-2.819467068,1.974251986,0.191264004,-6.158426762,-3.49969697,-3.194880009,-4.159388065,-0.747295022,-1.58970201,1
